Year,All,Fresh,Canning,Freezing,Juice,Dried,Other processed,Fresh_prop,Canning_prop,Freezing_prop,Juice_prop,Dried_prop,Other processed_prop
1976,29.9,17.1,4.3,0.8,6.3,1.1,0.3,0.5719063545150502,0.14381270903010032,0.026755852842809368,0.21070234113712374,0.03678929765886288,0.010033444816053512
1977,31.5,16.5,4.9,0.7,7.9,1.0,0.5,0.5238095238095238,0.15555555555555556,0.02222222222222222,0.2507936507936508,0.031746031746031744,0.015873015873015872
1978,35.9,17.9,5.5,1.0,9.6,1.0,0.8,0.49860724233983283,0.15320334261838442,0.02785515320334262,0.26740947075208915,0.02785515320334262,0.022284122562674098
1979,36.1,17.1,5.9,0.7,10.6,1.1,0.6,0.4736842105263158,0.1634349030470914,0.019390581717451522,0.2936288088642659,0.030470914127423823,0.016620498614958446
1980,39.8,19.2,5.3,0.8,13.0,0.8,0.7,0.4824120603015076,0.13316582914572864,0.020100502512562818,0.32663316582914576,0.020100502512562818,0.017587939698492462
1981,34.6,16.8,4.4,0.7,11.5,0.8,0.4,0.48554913294797686,0.12716763005780346,0.020231213872832367,0.33236994219653176,0.023121387283236993,0.011560693641618497
1982,39.7,17.5,5.4,0.8,14.6,0.9,0.5,0.44080604534005036,0.13602015113350127,0.020151133501259445,0.36775818639798485,0.022670025188916875,0.012594458438287152
1983,41.6,18.3,5.1,0.7,15.8,1.2,0.4,0.43990384615384615,0.12259615384615383,0.016826923076923076,0.3798076923076923,0.028846153846153844,0.009615384615384616
1984,44.3,18.4,5.0,0.9,18.4,1.3,0.4,0.4153498871331828,0.11286681715575622,0.02031602708803612,0.4153498871331828,0.029345372460496618,0.009029345372460498
1985,43.2,17.3,5.3,0.8,18.4,1.2,0.3,0.40046296296296297,0.12268518518518517,0.018518518518518517,0.4259259259259259,0.027777777777777776,0.006944444444444444
1986,43.1,17.8,4.9,1.0,18.2,0.8,0.4,0.41299303944315546,0.11368909512761022,0.02320185614849188,0.42227378190255216,0.018561484918793503,0.009280742459396751
1987,48.2,20.8,5.4,1.0,19.4,1.2,0.3,0.43153526970954353,0.11203319502074689,0.02074688796680498,0.40248962655601656,0.024896265560165973,0.006224066390041493
1988,47.3,19.8,5.7,1.1,19.1,1.2,0.3,0.4186046511627907,0.12050739957716702,0.023255813953488375,0.4038054968287527,0.02536997885835095,0.006342494714587738
1989,46.6,21.2,5.3,1.3,17.4,1.1,0.2,0.45493562231759654,0.11373390557939914,0.027896995708154508,0.3733905579399141,0.023605150214592276,0.004291845493562232
1990,47.9,19.6,5.5,1.1,20.7,0.8,0.3,0.40918580375782887,0.11482254697286012,0.02296450939457203,0.4321503131524008,0.016701461377870565,0.006263048016701462
1991,43.6,18.1,5.1,1.0,18.1,0.8,0.4,0.4151376146788991,0.11697247706422018,0.02293577981651376,0.4151376146788991,0.01834862385321101,0.009174311926605505
1992,46.5,19.1,5.8,1.0,18.7,1.2,0.6,0.410752688172043,0.12473118279569892,0.021505376344086023,0.4021505376344086,0.025806451612903226,0.012903225806451613
1993,48.3,19.0,5.1,1.1,21.3,1.4,0.3,0.39337474120082816,0.10559006211180125,0.02277432712215321,0.44099378881987583,0.028985507246376812,0.006211180124223603
1994,49.1,19.4,5.3,1.1,21.3,1.5,0.5,0.39511201629327897,0.10794297352342158,0.022403258655804482,0.43380855397148677,0.03054989816700611,0.010183299389002037
1995,45.2,18.7,4.9,1.2,18.9,1.2,0.3,0.413716814159292,0.1084070796460177,0.026548672566371678,0.4181415929203539,0.026548672566371678,0.006637168141592919
1996,46.4,18.7,4.9,1.0,20.3,1.2,0.2,0.40301724137931033,0.10560344827586209,0.021551724137931036,0.43750000000000006,0.02586206896551724,0.004310344827586207
1997,45.1,18.1,5.6,1.3,18.5,0.9,0.7,0.40133037694013307,0.12416851441241684,0.028824833702882482,0.4101995565410199,0.019955654101995565,0.015521064301552106
1998,47.3,19.0,4.4,0.9,21.5,1.2,0.3,0.40169133192389006,0.0930232558139535,0.019027484143763214,0.4545454545454546,0.02536997885835095,0.006342494714587738
1999,47.1,18.5,4.8,0.9,21.4,1.0,0.4,0.3927813163481953,0.1019108280254777,0.01910828025477707,0.45435244161358807,0.021231422505307854,0.008492569002123142
2000,45.1,17.5,4.4,0.8,21.4,0.8,0.3,0.38802660753880264,0.0975609756097561,0.017738359201773836,0.47450110864745004,0.017738359201773836,0.006651884700665188
2001,43.4,15.6,4.6,0.9,21.3,0.8,0.2,0.35944700460829493,0.10599078341013825,0.020737327188940093,0.4907834101382489,0.018433179723502304,0.004608294930875576
2002,43.1,16.0,4.0,0.7,21.5,0.8,0.2,0.37122969837587005,0.09280742459396751,0.016241299303944315,0.49883990719257537,0.018561484918793503,0.004640371229698376
2003,46.6,16.9,4.5,1.0,23.1,0.6,0.4,0.36266094420600853,0.09656652360515021,0.02145922746781116,0.4957081545064378,0.012875536480686695,0.008583690987124463
2004,50.4,18.8,4.5,0.7,25.3,0.7,0.4,0.373015873015873,0.08928571428571429,0.013888888888888888,0.501984126984127,0.013888888888888888,0.007936507936507938
2005,45.2,16.7,4.2,0.8,22.3,0.7,0.5,0.36946902654867253,0.09292035398230088,0.017699115044247787,0.49336283185840707,0.015486725663716812,0.011061946902654867
2006,50.7,17.7,4.21,0.8,26.4,1.0,0.6,0.3491124260355029,0.08303747534516764,0.015779092702169626,0.5207100591715976,0.01972386587771203,0.011834319526627219
2007,49.8,16.4,3.96,0.9,27.1,0.9,0.5,0.3293172690763052,0.07951807228915662,0.01807228915662651,0.5441767068273093,0.01807228915662651,0.010040160642570281
2008,47.9,15.9,4.61,0.7,25.0,0.9,0.8,0.33194154488517746,0.09624217118997913,0.014613778705636743,0.5219206680584552,0.018789144050104387,0.016701461377870565
2009,47.3,16.2,4.18,0.8,24.9,0.6,0.6,0.34249471458773784,0.08837209302325581,0.016913319238900635,0.5264270613107822,0.012684989429175475,0.012684989429175475
2010,47.6,15.3,3.98,0.6,26.4,0.7,0.7,0.32142857142857145,0.08361344537815125,0.012605042016806721,0.5546218487394957,0.014705882352941175,0.014705882352941175
2011,42.6,15.5,4.17,0.7,20.6,0.6,1.0,0.36384976525821594,0.09788732394366197,0.016431924882629106,0.48356807511737093,0.01408450704225352,0.023474178403755867
2012,43.5,16.0,3.16,0.3,22.5,0.9,0.6,0.367816091954023,0.07264367816091954,0.006896551724137931,0.5172413793103449,0.020689655172413793,0.013793103448275862
2013,45.8,17.4,4.82,0.8,21.3,0.6,0.8,0.3799126637554585,0.1052401746724891,0.017467248908296946,0.46506550218340614,0.013100436681222708,0.017467248908296946
2014,45.8,18.7,4.33,0.8,20.6,0.7,0.8,0.40829694323144106,0.09454148471615721,0.017467248908296946,0.44978165938864634,0.015283842794759825,0.017467248908296946
2015,46.5,17.5,4.3,0.7,22.6,0.7,0.8,0.3763440860215054,0.09247311827956989,0.015053763440860214,0.48602150537634414,0.015053763440860214,0.017204301075268817
2016,48.8,19.2,4.56,0.4,22.7,1.2,0.8,0.39344262295081966,0.09344262295081968,0.00819672131147541,0.4651639344262295,0.02459016393442623,0.01639344262295082
2017,47.5,18.1,4.45,0.4,22.2,1.3,1.1,0.3810526315789474,0.09368421052631579,0.008421052631578947,0.46736842105263154,0.02736842105263158,0.023157894736842106
2018,45.1,16.9,4.03,0.5,22.0,0.9,0.8,0.37472283813747226,0.0893569844789357,0.011086474501108647,0.4878048780487805,0.019955654101995565,0.017738359201773836
